"","P10E0","P10E7","P10E90","P11E0","P11E7","P11E90","P12E0","P12E7","P12E90","P13E0","P13E7","P13E90","P14E0","P14E7","P14E90","P15E0","P15E7","P15E90","P17E0","P17E7","P17E90","P18E0","P18E7","P18E90","P19E0","P19E7","P19E90","P1E0","P1E7","P1E90","P20E0","P20E7","P20E90","P21E0","P21E7","P21E90","P22E0","P22E7","P22E90","P23C0","P23C7","P23C90","P25C0","P25C7","P25C90","P2E0","P2E7","P2E90","P38C0","P38C7","P38C90","P3E0","P3E7","P3E90","P4E0","P4E7","P4E90","P5E0","P5E7","P5E90","P6C0","P6C7","P6C90","P7C0","P7C7","P7C90","P8C0","P8C7","P8C90","P9E0","P9E7","P9E90"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0.00465,0,0.00147,0.00423,0.00573,0.00393,0.0053,0,0,0,0,0,0,0,0,0.01318,0.00995,0.0088,0,0,0.00554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03231,0.03895,0.01614,0,0,0,0,0,0,0,0,0,0,0,0,0.01301,0.01647,0.02157,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416,0,0.00166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0.00655,0.00575,0.00095,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacteriaceae_unclassified|s__Eubacteriaceae_bacterium_CHKCI005",0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00416,0,0.00166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0.00655,0.00575,0.00095,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus",0,0,0,0,0,0,0,0,0,0,0,0.04502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269,0,0,0.02446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.00912,0.00154,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0,0,0,0.04502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269,0,0,0.02446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,0.00912,0.00154,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_disiens",0,0,0,0,0,0,0,0,0,0,0,0.01921,0,0.00593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00388,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis",0,0,0,0,0,0,0,0,0,0,0,0.00408,0,0,0,0,0,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02019,0,0,0.00048,0,0,0,0,0,0,0,0,0.01559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0,0.00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.02096,0.24618,0,0,0,0,0,0,0,0,0,0,0,0.00148,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505,0.03174,0.0108,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.02096,0.24618,0,0,0,0,0,0,0,0,0,0,0,0.00148,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505,0.03174,0.0108,0,0,0,0,0,0
"k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0.02508,0.03432,0.48284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.02096,0.24618,0,0,0,0,0,0,0,0,0,0,0,0.00148,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505,0.03174,0.0108,0,0,0,0,0,0
"k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0.02508,0.03432,0.48284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.02096,0.24618,0,0,0,0,0,0,0,0,0,0,0,0.00148,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505,0.03174,0.0108,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified",0,0,0,0,0,0,0,0,0,0,0,0,0.31152,0.18186,0.36331,0,0,0,0,0,0,0,0,0,0.08125,0.13173,0.13173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03702,0.03031,0.10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80827,1.28744,0.74469,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia",0,0,0,0,0,0,0,0,0,0,0,0,0.18863,0.01481,0.35154,0,0,0,0,0,0,0,0,0,0.1615,0.00506,0.04349,0,0.01134,0.06754,0,0,0,0,0,0.00041,0,0,0,0.00052,0.0021,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0.18092,0.07671,0.0699,0,0,0,0,0,0,0,0,0,0.04689,0.32469,0.06939,0.02551,0.06215,0.1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0.02705,0.07427,0.0166,0,0,0,0.01447,0.07237,0.00439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis",0,0,0,0,0,0,0,0,0,0,0,0,0.02508,0.03432,0.48284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella",0,0,0,0,0,0,0,0,0,0,0,0,0.02206,0,0.03504,0,0,0,0,0,0,0,0,0,0.00938,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0.01376,0.01908,0.00896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella",0,0,0,0,0,0,0,0,0,0,0,0,0.01849,0.00835,0.00954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera",0,0,0,0,0,0,0,0,0,0,0,0,0.00364,0.00954,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium",0,0,0,0,0,0,0,0,0,0,0,0,0.00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.02096,0.24618,0,0,0,0,0,0,0,0,0,0,0,0.00148,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505,0.03174,0.0108,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri",0,0,0,0,0,0,0,0,0,0,0,0,47.84466,37.90369,39.30564,0,0,0,0,0,0,0,0,0,12.74474,11.84494,43.33118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.92593,67.6709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,0,0,0,0,10.64232,18.59304,9.61646,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_AM42_24",0,0,0,0,0,0,0,0,0,0,0,0,6.85067,1.00836,4.62582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea",0,0,0,0,0,0,0,0,0,0,0,0,0.69673,1.21146,0.59857,0,0,0,0,0,0,0,0,0,1.19991,0.38537,7.91844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrionaceae_unclassified|s__Desulfovibrionaceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0.31152,0.18186,0.36331,0,0,0,0,0,0,0,0,0,0.08125,0.13173,0.13173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03702,0.03031,0.10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80827,1.28744,0.74469,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris",0,0,0,0,0,0,0,0,0,0,0,0,0.24782,0,0.28061,0,0,0.24476,0.07428,0.0094,0.03618,0.04057,0,0.15592,0.30293,0.01376,0.18654,0,0,0,0.0239,0,0,0,0,0,0,0,0,0.05638,0.01635,0.00415,0,0,0.08104,0.04494,0.04082,0.16362,0,0,0,0.34231,0.11039,0.18699,0.32488,0,0,0,0,0,0,0,0,1.4139,1.8854,0.30751,0.0777,0.08956,0.07634,0.02751,0.00178,0.07717
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens",0,0,0,0,0,0,0,0,0,0,0,0,0.18863,0.01481,0.35154,0,0,0,0,0,0,0,0,0,0.1615,0.00506,0.04349,0,0.01134,0.06754,0,0,0,0,0,0.00041,0,0,0,0.00052,0.0021,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0.18092,0.07671,0.0699,0,0,0,0,0,0,0,0,0,0.04689,0.32469,0.06939,0.02551,0.06215,0.1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0,0,0,0,0,0.07754,0.11225,0.01034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0,0,0,0,0.07497,0,0.01754,0,0,0,0,0,0,0,0,0,1.82798,0.97249,0.55212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61231,1.81912,0.18819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0,0,0,0.02705,0.07427,0.0166,0,0,0,0.01447,0.07237,0.00439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0.02508,0.03432,0.48284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis",0,0,0,0,0,0,0,0,0,0,0,0,0.02206,0,0.03504,0,0,0,0,0,0,0,0,0,0.00938,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0.01376,0.01908,0.00896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_jalaludinii",0,0,0,0,0,0,0,0,0,0,0,0,0.00958,0.00394,0.00676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_multacida",0,0,0,0,0,0,0,0,0,0,0,0,0.00892,0.00441,0.00278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0.00364,0.00954,0.00476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0.00046,0.01692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0,0,0,0.00122,0.0048,0.04393,0,0,0,0,0,0,0,0,0,0.00029,0,0.0081,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae",0,0,0,0,0,0,0,0,0,0,0,0,0.00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis",0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0.02096,0.24618,0,0,0,0,0,0,0,0,0,0,0,0.00148,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03505,0.03174,0.0108,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0,0.00197,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_pittmaniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0.02705,0.00263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,8e-05,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22803,0.02212,0.3047,0,0,0,0,0,0,0,0,0,0.01558,0.02277,0.10856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01061,0,0.04164,0,0,0,0.01223,0,0,0.00186,0,0,0,0,0,0.174,0,0,0,0,0.04291,0,0,0.0646,0,0,0,0,0.02677,0,0,0,0.06219,0,0,0,0,0,0,0,0,0,0,0,0,0.23037,0.05826,0,0.01305,0.00728,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_paraphrohaemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0,0,8e-05,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021,0,0,0.00048,0,8e-05,0,0,0,0,0,0,0,0,0,0.00063,0,0,0.00026,0,0.00042,0,0,0,0.00507,0.01185,0.00675,0.00031,0.00038,0.00042,0,0,0,0.0052,0.0161,0,0,0,0,0.0051,0,0.00252,0.00694,0,0,0.00083,8e-05,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Candidatus_Stoquefichus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0.01704,0,0,0.00044,0,0,0,0,0,0.00737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276
